PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
00HHN,4r2k/p6p/1p3R2/2p5/2P5/1P4R1/r5PP/2K5 w - - 0 32,f6f7 e8e1,526,91,98,786,rookEndgame,https://lichess.org/tMmxk7ja#63,
00fgg,4r1k1/p4ppp/8/8/8/8/PP1b1PPP/K2R4 w - - 0 21,d1d2 e8e1 d2d1 e1d1,589,93,63,193,rookEndgame,https://lichess.org/AjVJZKD1#41,
01Siq,5rk1/5p2/p2p1Rp1/1p1P2Pp/7r/8/PPPR4/1K6 w - - 0 28,f6d6 h4h1 d2d1 h1d1,576,82,100,74,rookEndgame,https://lichess.org/qoBdj9xn#55,
01uXH,R7/8/5p2/8/8/1P3k1K/Pr6/8 w - - 2 46,h3h4 b2h2,585,82,100,99,rookEndgame,https://lichess.org/FvWUxpdc#91,
01zaV,7k/6pp/8/8/R7/2P4r/1P4K1/8 b - - 1 42,h3d3 a4a8 d3d8 a8d8,534,97,93,238,rookEndgame,https://lichess.org/7bLOOk6f/black#84,
0Br1L,8/8/7N/8/2p2k1P/5P2/8/7K w - - 0 45,h1g2 c4c3 h6g4 c3c2,568,92,66,160,knightEndgame,https://lichess.org/04Yd8k01#89,
0KeBg,8/1k3n2/1p6/pK3P1P/P7/6N1/8/8 w - - 1 55,f5f6 f7d6,501,98,92,394,knightEndgame,https://lichess.org/5IvGJ7X7#109,
0QVIk,8/8/1N1n4/1Pp5/2Pk1K2/8/8/8 b - - 2 49,d6c4 b6c4 d4c4 b5b6,574,82,100,610,knightEndgame,https://lichess.org/dljPLeoX/black#98,
0kPJE,8/8/8/p7/2p5/2P5/1k1KN3/8 w - - 2 58,e2g3 a5a4 g3e4 a4a3,552,97,93,1228,knightEndgame,https://lichess.org/2fiNzNLT#115,
0oV2Y,8/5n2/1P3k2/p7/5K2/8/8/8 b - - 1 62,f6e6 b6b7 f7d6 b7b8q,577,91,82,157,knightEndgame,https://lichess.org/NAsXdYLe/black#124,
00JQS,5r1k/pb3Qpp/2p5/5p2/3P4/8/PPP2PPP/4R1K1 b - - 0 21,f8f7 e1e8 f7f8 e8f8,575,94,76,629,mateIn2,https://lichess.org/jB9KjawU/black#42,
00JS1,2r5/1p2k1pp/4p3/1N3p2/5P2/P2nP3/1R4PP/6K1 w - - 0 24,b2d2 c8c1 d2d1 c1d1,570,101,77,682,mateIn2,https://lichess.org/ROJJOhHY#47,
00KVb,2k2r2/pp5p/3p4/3Nb1p1/8/1P1P3P/P1Pn4/1K1R1R2 w - - 3 28,d1d2 f8f1 d2d1 f1d1,573,98,71,161,mateIn2,https://lichess.org/tzIW1ZLM#55,
00LdT,r5k1/pbp2ppp/6q1/2pp4/3B3r/2P1R1P1/PP2QP1P/R5K1 b - - 1 20,c5d4 e3e8 a8e8 e2e8,587,91,80,158,mateIn2,https://lichess.org/MH7zaBHa/black#40,
00TU2,1k1r4/1p3Qp1/p2q3p/3N4/1b6/8/PP3PPP/2R3K1 w - - 4 22,d5b4 d6d1 c1d1 d8d1,504,87,96,1233,mateIn2,https://lichess.org/p32396Rd#43,
02eRO,6k1/1R3p1p/6p1/1p2rb2/8/2Bp3P/6P1/6K1 b - - 5 46,e5d5 b7b8 f5c8 b8c8 d5d8 c8d8,579,98,82,721,mateIn3,https://lichess.org/BSUrVaM0/black#92,
03EFQ,6k1/p5rp/p3p1p1/1b2N3/3rp3/PP2K3/7P/2R5 b - - 1 32,d4d5 c1c8 d5d8 c8d8 b5e8 d8e8,531,93,96,908,mateIn3,https://lichess.org/ZVKTxxzu/black#64,
03lLT,2r3k1/5ppp/p4b2/3Rp3/P3P3/1r3N2/5PPP/1R4K1 w - - 0 25,b1b3 c8c1 d5d1 c1d1 f3e1 d1e1,524,88,100,124,mateIn3,https://lichess.org/ajxPwCQX#49,
058QD,r4k1r/2p2p2/pp1p1q1p/3P2pQ/2P1RbB1/5R2/P2B1PPP/6K1 w - - 5 30,d2f4 f6a1 f4c1 a1c1 e4e1 c1e1,561,83,99,594,mateIn3,https://lichess.org/V11lpMDC#59,
06CKT,4r1k1/5p2/5Bp1/7p/pR5P/1p6/r5PK/8 b - - 1 31,e8e2 b4b8 e2e8 b8e8 g8h7 e8h8,520,96,94,596,mateIn3,https://lichess.org/RxRfFmsp/black#62,
3OFy6,6k1/p1rr1p1p/5npP/8/1R6/8/8/7K b - - 1 36,c7c2 b4b8 c2c8 b8c8 d7d8 c8d8 f6e8 d8e8,577,111,81,232,mateIn4,https://lichess.org/OzVKug3e/black#72,
