PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
02T4Z,1k3b1r/Bpp2ppp/3r4/8/6B1/3n3P/qP3PP1/2R1QRK1 b - - 0 19,a2a7 e1e8 d6d8 e8d8,532,92,94,378,queensideAttack,https://lichess.org/Gth3X5g4/black#38,
038Ql,r5k1/q4p1p/r2p4/3QpPb1/4P3/1N3P2/1PP4P/2KRR3 w - - 1 26,c1b1 a6a1 b3a1 a7a1,586,94,97,360,queensideAttack,https://lichess.org/V2sFzds3#51,
04Ewo,2r1k2r/pp2pp1p/1q1p1b2/3b4/4P3/8/PPPQ1PPP/1K1R1B1R w k - 0 14,e4d5 b6b2,555,105,96,259,queensideAttack,https://lichess.org/Myd6FFhQ#27,Sicilian_Defense Sicilian_Defense_Modern_Variations
04gq1,2k2r2/pppn2p1/3b4/6n1/3P2q1/2P5/PP2R3/RN1KQ3 b - - 6 28,g5f3 e2e8 f8e8 e1e8,502,100,80,411,queensideAttack,https://lichess.org/hk60YEKo/black#56,
06h3C,k2r3r/1bq1np2/N1p4p/3pP1p1/Q2P4/R1N5/P4PPP/6K1 b - - 0 30,b7a6 a4a6 c7a7 a6a7,523,83,75,154,queensideAttack,https://lichess.org/pojQtfSD/black#60,
00LdT,r5k1/pbp2ppp/6q1/2pp4/3B3r/2P1R1P1/PP2QP1P/R5K1 b - - 1 20,c5d4 e3e8 a8e8 e2e8,587,91,80,158,kingsideAttack,https://lichess.org/MH7zaBHa/black#40,
00V59,rnb2rk1/5ppp/p2q4/1p1P4/2p3n1/2N2N2/PP2BPPP/R2Q1RK1 w - - 0 14,f3d4 d6h2,568,85,100,180,kingsideAttack,https://lichess.org/EaO3DqDl#27,Indian_Defense Indian_Defense_Anti-Nimzo-Indian
00bSy,1kr1r3/1pp4p/p2b2p1/3N1p2/P7/3P1Q1P/2R2PP1/2R1q1K1 w - - 7 27,c1e1 e8e1,552,96,100,351,kingsideAttack,https://lichess.org/s7Pa0Pux#53,
00w1s,rn2Q1k1/pb1q1p1p/1p1p2pB/3P3n/8/2bB1N1P/PP3PP1/4R1K1 b - - 1 18,d7e8 e1e8,504,108,94,632,kingsideAttack,https://lichess.org/BOlWIbHT/black#36,English_Defense English_Defense_Other_variations
01Yq1,r4rk1/1bppbppp/p1q5/1p2P3/3p1Q2/1B1P1N2/PPP2PPP/R4RK1 w - - 1 18,f3d4 c6g2,529,107,75,191,kingsideAttack,https://lichess.org/GYulNd9V#35,Ruy_Lopez Ruy_Lopez_Bird_Variation
0DWW4,8/1p6/2r2p2/7R/3k3P/6K1/6P1/8 b - - 0 50,c6c5 h5c5 d4c5 h4h5,581,83,97,842,defensiveMove,https://lichess.org/FHBSoDod/black#100,
1OiNw,8/8/p7/8/1k5K/7P/6P1/8 w - - 1 45,h4g5 a6a5 g2g4 a5a4,500,96,81,86,defensiveMove,https://lichess.org/s32Qvh49#89,
1OlGQ,8/7p/1K6/8/8/P6k/8/8 b - - 1 50,h3g3 a3a4 h7h5 a4a5,595,98,73,120,defensiveMove,https://lichess.org/w3q7KqrF/black#100,
1g9Nq,8/8/p7/5K1p/1k5P/6P1/8/8 w - - 1 55,f5g5 a6a5 g5h5 a5a4,563,108,83,330,defensiveMove,https://lichess.org/0TEwMEE8#109,
3w3Ev,1k4nr/p6p/8/1P2p1N1/q3Pp2/2RP1BP1/1K3P1P/7R b - - 5 33,a4b5 c3b3 b5b3 b2b3,563,107,69,158,defensiveMove,https://lichess.org/8xfaPNDH/black#66,
