PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
2f74K,4rk2/ppN2pb1/2pp4/6p1/2P5/6PQ/Pq6/KR6 w - - 0 31,b1b2 e8e1,501,86,100,120,pin,https://lichess.org/16NHiHN4#61,
4qvno,8/6q1/8/8/8/4PR2/4K2k/8 b - - 3 60,g7g2 f3f2 g2f2 e2f2,563,94,100,275,pin,https://lichess.org/QEaTPLZi/black#120,
5OfF7,r3r1k1/1b1N2pp/p2Q1p2/1p6/5P2/P7/1PP3qP/6RK w - - 0 22,g1g2 e8e1,579,85,100,161,pin,https://lichess.org/LY1x2LEQ#43,
6z8gj,8/7r/1p1kp3/p4p2/4bP2/2P1P1Q1/8/4K3 w - - 0 39,g3g1 h7h1 g1h1 e4h1,562,83,100,283,pin,https://lichess.org/MPmD3evi#77,
8g41X,r1b1k1nr/pppp1ppp/8/4q3/2B5/3Qb3/PPP2PPP/RN2R1K1 b kq - 1 12,e3f2 g1f2 e5e1 f2e1,578,87,100,146,pin,https://lichess.org/CKIByfI0/black#24,Scotch_Game Scotch_Game_Lolli_Variation
0dxiY,8/1k1b4/p5p1/P1p2p1p/2N4P/2K1PP2/6P1/8 b - - 0 42,d7e8 c4d6 b7c6 d6e8,537,86,100,192,fork,https://lichess.org/tlYmNlQs/black#84,
16qCF,8/8/ppb3k1/7p/2N2K2/1P6/P7/8 b - - 3 61,b6b5 c4e5 g6f6 e5c6,554,88,100,374,fork,https://lichess.org/aJCvIiZS/black#122,
1LmnE,8/8/8/3b1N2/2p5/1pK5/1P2k3/8 b - - 2 59,e2d1 f5e3 d1e2 e3d5,597,81,100,226,fork,https://lichess.org/MQJRWRZ8/black#118,
1UQzg,3r4/1p4k1/p3Nnpp/3b1p2/3N3P/P3P3/1P3PP1/6K1 b - - 1 26,d5e6 d4e6 g7g8 e6d8,586,87,100,68,fork,https://lichess.org/JIfbgGSd/black#52,
1uwSQ,r1bqr1k1/pp2bppp/5B2/2p1R3/2Bp4/8/PPP1QPPP/RN4K1 b - - 0 12,e7f6 e5e8 d8e8 e2e8,571,80,100,506,fork,https://lichess.org/eZFHsjZ7/black#24,Scotch_Game Scotch_Game_Benima_Defense
4breR,2n5/2k4p/1p3pp1/1B2p3/1P2P3/3K1P1P/6P1/8 w - - 0 44,d3c4 c8d6 c4d5 d6b5,596,83,100,58,deflection,https://lichess.org/0oxRWbA1#87,
CAe3q,8/6p1/5k2/6R1/r3pK2/5P2/8/8 w - - 0 49,f3e4 a4e4 f4e4 f6g5,533,82,100,275,deflection,https://lichess.org/J8COBvto#97,
DeMKo,8/8/8/8/8/4Qbkp/8/6K1 w - - 2 57,e3a3 h3h2 g1f1 h2h1q,555,87,100,70,deflection,https://lichess.org/SsY5HQCP#113,
GxP0b,4k3/4n3/p4KP1/1p3P2/8/1P6/8/8 b - - 4 52,e8f8 g6g7 f8g8 f6e7,579,88,100,357,deflection,https://lichess.org/5ol2p71v/black#104,
NV2fi,8/p1k4p/4p3/1Pb1Np2/2P2P2/5K2/8/8 b - - 4 45,c7b6 e5d7 b6c7 d7c5,585,86,100,67,deflection,https://lichess.org/X4cxq0lp/black#90,
02k8t,4r1k1/5pp1/p4b1p/1pBQq3/1P6/P7/5PPP/3R2K1 w - - 0 24,d5d7 e5e1 d1e1 e8e1,562,84,100,188,sacrifice,https://lichess.org/fAUXyP2G#47,
03spI,5r1k/7p/7P/4pN2/1pP2qP1/rP1Q4/5P2/1K1R4 b - - 3 36,f8a8 d3d8 a8d8 d1d8,536,80,100,108,sacrifice,https://lichess.org/DcZGvSBQ/black#72,
0Em53,4r1k1/1P6/7Q/4qp2/7p/6pP/P4PP1/2R3K1 w - - 2 38,h6h4 e5e1 c1e1 e8e1,529,84,100,143,sacrifice,https://lichess.org/Ezk133lw#75,
0kYEf,r5k1/pp3ppp/1q6/3Q4/8/7P/PP3PP1/3R2K1 b - - 0 21,b6b2 d5d8 a8d8 d1d8,583,83,100,114,sacrifice,https://lichess.org/z2S5JXMi/black#42,
0pO15,1q4k1/3p2p1/p3p3/4P1bp/3P4/2N5/1rP1Q1P1/2K3RR w - - 0 26,c1d1 b2b1 c3b1 b8b1,526,83,100,307,sacrifice,https://lichess.org/Z1iSQIZs#51,
1tNNo,3r1r1k/p4pp1/1pp1b2p/8/3B4/6PP/P1PR2P1/3R2K1 b - - 1 25,c6c5 d4g7 h8g7 d2d8 f8d8 d1d8,598,79,100,125,discoveredAttack,https://lichess.org/20Nm6vVl/black#50,
3NmL7,8/pp1r2k1/7p/8/3q1p2/PQ1NpP2/1P4KP/4R3 w - - 2 35,b3c3 d4c3 b2c3 d7d3,588,88,100,408,discoveredAttack,https://lichess.org/xbbHb4KH#69,
3RcA8,r1b1r1k1/1pqn1pbp/p2p1Bp1/8/3PN3/1PP2N2/1P3PPP/R2QR1K1 b - - 2 16,d7f6 e4f6 g7f6 e1e8,568,84,100,415,discoveredAttack,https://lichess.org/ijoT1UXT/black#32,Alekhine_Defense Alekhine_Defense_Modern_Variation
3mT7e,4k3/pb5p/1p4p1/2pP4/2P2p2/1P3B2/P4P1P/5K2 b - - 1 35,e8e7 d5d6 e7d6 f3b7,598,89,100,116,discoveredAttack,https://lichess.org/HlONpEF0/black#70,
49I7R,2r3k1/6p1/2p4p/pp6/2n1NP2/8/P1P3PP/4R1K1 b - - 0 24,c8e8 e4f6 g7f6 e1e8,575,82,100,262,discoveredAttack,https://lichess.org/vGGO8qBU/black#48,
0Cuip,r1b2rk1/2p2Qpp/p7/1p6/7q/1BPP3P/PP3nPb/RNB1RK2 b - - 0 17,f8f7 e1e8,692,83,100,180,pin,https://lichess.org/J95iEpxB/black#34,Ruy_Lopez Ruy_Lopez_Marshall_Attack
0XYVw,3Q4/pp6/k1p5/3p4/3P4/P1q1n3/1R6/K7 b - - 1 39,c3a3 b2a2 e3c2 a1b1 a3a2 b1a2,693,81,100,303,pin,https://lichess.org/r83HqzbO/black#78,
1SfHB,8/2k4p/p5p1/8/1r6/4N2P/2p2PP1/R5K1 w - - 0 43,a1c1 b4b1 g1h2 b1c1,664,79,100,662,pin,https://lichess.org/xmcHYtho#85,
1YelJ,1rb2rk1/pp1p1Qpp/8/8/2B5/8/Pq3PPP/R3R1K1 b - - 0 17,f8f7 e1e8,611,83,100,469,pin,https://lichess.org/tff1ObEl/black#34,Sicilian_Defense Sicilian_Defense_Alapin_Variation
1d3gy,3r1rk1/5Qpp/8/1p6/8/1BP1Rb1q/PP3Pp1/4R1K1 b - - 0 30,f8f7 e3e8 d8e8 e1e8,618,81,100,302,pin,https://lichess.org/7CrQQpjv/black#60,
00OPi,5k2/5p1p/1p1P2p1/1B6/5P2/1P3KP1/n6P/8 w - - 0 38,f3e4 a2c3 e4d4 c3b5,684,78,100,244,fork,https://lichess.org/4K29qsm1#75,
08HhT,r5k1/1b4p1/4p2p/ppb1P3/2p3rP/P1Pp1N1K/1P3PB1/3R1R2 b - - 4 31,b7f3 g2f3 g4h4 h3h4,643,80,100,127,fork,https://lichess.org/f41wM6m8/black#62,
0CwF4,6k1/p4p1p/5Qp1/4p3/3b4/P5P1/2r2PKP/8 w - - 4 33,g3g4 c2f2 f6f2 d4f2,643,89,100,64,fork,https://lichess.org/DGQgtZmL#65,
0KUJf,1k6/1p4p1/6Q1/Pp6/3P4/7P/r4rBK/8 w - - 1 45,g6g7 f2g2 g7g2 a2g2 h2g2 b5b4 h3h4 b4b3,640,80,100,256,fork,https://lichess.org/fYWWkPgX#89,
0KZUy,3r4/8/1k6/8/2PN4/2K5/8/8 b - - 2 68,b6c5 d4e6 c5d6 e6d8,630,88,100,118,fork,https://lichess.org/UkBkzAZx/black#136,
0IDwU,4r1k1/2r2p1p/p1Nbpp2/1p6/nP6/P3PN2/2R2PPP/2R3K1 b - - 3 22,e8c8 c6e7 c7e7 c2c8,610,78,100,162,deflection,https://lichess.org/YAiAwH66/black#44,
0ed5L,5r1k/p1QbR2p/5qp1/2P5/P7/8/5PPP/5BK1 w - - 1 27,c7d7 f6f2 g1h1 f2f1,668,78,100,216,deflection,https://lichess.org/Z1igO0qO#53,
5zqED,2r3k1/1pr2pp1/4p2p/8/p2P4/P1n1P3/2R2PPP/R4BK1 w - - 5 26,a1c1 c3e2 c2e2 c7c1,648,81,100,167,deflection,https://lichess.org/hlUWZCiS#51,
8RADW,8/5p2/7k/1r6/3P3p/2PKN1n1/R7/8 w - - 2 57,c3c4 b5b3 d3c2 b3e3,671,80,100,233,deflection,https://lichess.org/rrObk4X2#113,
9H81E,1R6/5pk1/4p1pp/2b5/Q1Nq4/8/5PPP/5BK1 w - - 1 30,a4e8 d4f2 g1h1 f2f1,635,79,100,355,deflection,https://lichess.org/RjZdfbT4#59,
00awK,r5k1/2p2Qpp/p7/4b3/8/8/1PP1KR2/2q5 b - - 0 24,g8h8 f7f8 a8f8 f2f8,640,78,100,88,sacrifice,https://lichess.org/D9JaNyrl/black#48,
0EpdH,5rk1/pp4p1/7p/4P3/2p1P3/2B3p1/PPP2qPQ/R6K w - - 0 24,h2h3 f2f1 a1f1 f8f1,687,86,100,39,sacrifice,https://lichess.org/5gqoqc5w#47,
0XmgR,6rk/1p5p/p2pP1r1/2pPp3/2P1P3/5PqP/PP2QR2/R6K w - - 1 35,f2h2 g3g1 a1g1 g6g1,681,77,100,116,sacrifice,https://lichess.org/ua2pWRn5#69,
0ZqZQ,1Q4k1/5ppp/p3b3/8/1P6/2r2N2/q4PPP/4R1K1 b - - 1 31,c3c8 b8c8 e6c8 e1e8,633,88,100,304,sacrifice,https://lichess.org/Fe7PtsUF/black#62,
0ezOU,2r3k1/p4ppb/2q2N1p/2p1Q3/6P1/1P4BP/P3R2K/8 b - - 0 36,c6f6 e5e8 c8e8 e2e8,617,80,100,89,sacrifice,https://lichess.org/xg6bVbMH/black#72,
0IDwU,4r1k1/2r2p1p/p1Nbpp2/1p6/nP6/P3PN2/2R2PPP/2R3K1 b - - 3 22,e8c8 c6e7 c7e7 c2c8,610,78,100,162,discoveredAttack,https://lichess.org/YAiAwH66/black#44,
0Ohid,r1b2R2/pp6/3k4/3P2p1/4P3/1BP3P1/P7/4K3 w - - 3 31,e1e2 c8g4 e2e3 a8f8,622,80,100,395,discoveredAttack,https://lichess.org/C5mSDoGf#61,
1QH33,3r2k1/5p1p/p4p2/1p6/2bN4/P4P2/3R1KPP/8 b - - 2 31,g8f8 d4e6 f7e6 d2d8,655,84,100,492,discoveredAttack,https://lichess.org/hrjqLV1W/black#62,
1iS73,r1b5/pp6/2p5/4p1k1/4P2R/1BP2K2/PP5P/8 w - - 1 30,h4h8 c8g4 f3e3 a8h8,645,78,100,126,discoveredAttack,https://lichess.org/NPcPIqA7#59,
1q6vx,4r1k1/B2b2pp/2r1pn2/5p2/2B5/P7/5PPP/2R1R1K1 w - - 1 28,c4b5 c6c1 e1c1 d7b5,624,88,100,145,discoveredAttack,https://lichess.org/6l6CdIoC#55,
07tu0,6k1/5p1p/6p1/1N6/1b1p1P2/7P/1P4P1/6K1 w - - 0 29,b5d4 b4c5 g1f2 c5d4,719,78,100,218,pin,https://lichess.org/JSGEi80E#57,
084Ml,1r5k/5p1p/4pPp1/p3P1P1/2p1B3/2P2N2/Pq1Q3P/7K w - - 2 36,h1g2 b2d2 f3d2 b8b2,748,84,100,96,pin,https://lichess.org/XknpfryX#71,
0Q2Fk,5rk1/p4Qpp/2p5/8/2B5/5P2/P2q1PPP/4R1K1 b - - 0 24,f8f7 e1e8,711,84,100,120,pin,https://lichess.org/HGws306Y/black#48,
0YscA,5rk1/3Nr1pp/4Pp1q/1p1p4/pPn5/5Q1P/6R1/5R1K b - - 3 41,f8e8 d7f6 h6f6 f3f6,778,79,100,640,pin,https://lichess.org/LZbtP59V/black#82,
0yRGZ,8/1K2k1p1/8/P2P4/6P1/7p/8/8 w - - 0 47,a5a6 h3h2 a6a7 h2h1q a7a8q h1d5,781,79,100,233,pin,https://lichess.org/7SgjlQur#93,
02HAo,Q6B/2r1kp2/2Pp4/p6p/P3n1pq/8/1P3PPP/R5K1 w - - 5 28,a1e1 h4f2 g1h1 f2e1,790,77,100,270,fork,https://lichess.org/xC5barOi#55,
03vwr,r4rk1/pp2qp2/2p3p1/7n/P1NnPQ2/1P4NP/2P2PP1/R4RK1 w - - 3 21,g3h5 d4e2 g1h2 e2f4,752,78,100,224,fork,https://lichess.org/HkQ4D4Rr#41,
04gcx,1r5k/6pp/1p4p1/p3N1P1/Pn1PBP2/4P1nP/8/2R3K1 w - - 1 29,e4g2 g3e2 g1f2 e2c1,785,80,100,91,fork,https://lichess.org/pRcv87Wf#57,
06Ocz,8/8/2p1k2p/p1Pn2p1/3PB3/1K4PP/8/8 w - - 10 50,b3a4 d5c3 a4b3 c3e4,740,79,100,293,fork,https://lichess.org/R0Knrjp2#99,
09RCH,8/pb5p/1p3p1N/2b2N2/7P/P4kP1/5P2/R5K1 w - - 0 31,a1e1 c5f2 g1h2 f2e1,743,83,100,99,fork,https://lichess.org/StKQal1j#61,
0Mpmq,8/p1p2p2/4bk1p/1p6/1Pp1PbP1/2P5/P4NP1/1K1B4 b - - 2 29,f6g5 f2h3 g5h4 h3f4,744,78,100,71,deflection,https://lichess.org/7GNJAWVW/black#58,
0SNDg,5r2/5pkp/2p2qp1/p1Ppp3/5rR1/PP2QP1R/5P1P/7K b - - 1 30,f4g4 e3h6 g7h8 h6f8,746,79,100,106,deflection,https://lichess.org/TC3fHyoS/black#60,
